Topic,Question,a,b,c,d,Correct Answer,Difficulty,Cognitive Level,Subject
Security and Protection,Which of the following authentication mechanisms verifies a user's identity through a combination of something the user knows something the user has and something the user is?,Single-factor authentication,Two-factor authentication,Three-factor authentication,Four-factor authentication,c,hard,analyzing,OS
Security and Protection,Which of the following is an example of symmetric encryption?,RSA,AES,DH,Diffie-Hellman,b,medium,applying,OS
Security and Protection,Which of the following is a common technique used to prevent unauthorized access to a system?,Encryption,Authentication,Authorization,Firewall,d,medium,understanding,OS
Security and Protection,Which of the following is a security mechanism used to ensure the confidentiality and integrity of data transmitted over a network?,Firewall,Intrusion detection system,Virtual private network,Packet sniffer,c,medium,applying,OS
Security and Protection,Which of the following is a type of attack that involves intercepting and modifying data packets in transit?,Phishing,Denial-of-service,Man-in-the-middle,Spoofing,c,hard,analyzing,OS
Security and Protection,What is a security audit?,The process of reviewing and assessing the security of a computer system,The process of encrypting data,The process of backing up data,The process of compressing data,a,hard,analyzing,OS
Security and Protection,What is a vulnerability in computer security?,A weakness in a computer system that can be exploited by attackers,An encryption algorithm,An antivirus software,An operating system feature,a,hard,applying,OS
Security and Protection,Which of the following is a type of access control that restricts a user's access to only the resources necessary to perform their job?,Role-based access control,Discretionary access control,Mandatory access control,Non-discretionary access control,a,hard,analyzing,OS
Security and Protection,Which of the following is a technique used to detect and prevent buffer overflow attacks?,Input validation,Error handling,Memory segmentation,Stack smashing protection,d,hard,analyzing,OS
Distributed Systems and Cloud Computing,Which of the following is not a key characteristic of a distributed system?,Transparency,Concurrency,Scalability,Reliability,d,easy,remembering,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system where the components work together to achieve a common goal but do not share a global state?,Loosely-coupled system,Tightly-coupled system,Clustered system,All of the above,a,medium,applying,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system where the components work together to achieve a common goal and share a global state?,Loosely-coupled system,Tightly-coupled system,Clustered system,All of the above,b,medium,applying,OS
Distributed Systems and Cloud Computing,Which of the following is a technique used in distributed systems to ensure consistency of data across different nodes?,Replication,Partitioning,Load balancing,All of the above,a,hard,analyzing,OS
Distributed Systems and Cloud Computing,Which of the following is a key advantage of using cloud computing?,Reduced infrastructure costs,Increased security risks,Decreased scalability,All of the above,a,medium,applying,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud service model where the consumer uses the provider's applications over a network?,Infrastructure as a Service (IaaS),Platform as a Service (PaaS),Software as a Service (SaaS),All of the above,c,easy,understanding,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud deployment model where the cloud infrastructure is only available to a single organization?,Public cloud,Private cloud,Hybrid cloud,All of the above,b,medium,applying,OS
Distributed Systems and Cloud Computing,Which of the following is a cloud deployment model where the cloud infrastructure is shared by multiple organizations but with different access levels and security measures?,Public cloud,Private cloud,Hybrid cloud,Community cloud,d,hard,analyzing,OS
Distributed Systems and Cloud Computing,Which of the following is a technology used in distributed systems to handle the failure of nodes in the system?,Replication,Load balancing,Fault tolerance,All of the above,c,medium,analyzing,OS
Distributed Systems and Cloud Computing,Which of the following is a type of distributed system that provides a way to share computing resources data and applications across different organizations or sites?,Clustered system,P2P system,Grid system,All of the above,c,hard,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following tools is used for measuring the execution time of a program in Linux?,strace,top,time,perf,d,medium,understanding,OS
Operating System Performance Evaluation and Optimization,Which of the following is NOT a commonly used performance metric for operating systems?,Throughput,Response time,Latency,Color depth,d,easy,understanding,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used for measuring the performance of a system or component under varying workloads?,Benchmarking,Profiling,Debugging,Unit testing,a,medium,applying,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of how well the operating system manages resources?,Throughput,Response time,Latency,Utilization,d,medium,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by reducing the number of times data must be read from or written to the disk?,Caching,Virtual memory,Swapping,Multiprogramming,a,hard,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following is NOT a common technique used for optimizing system performance?,Process scheduling,Memory management,File system organization,Spam filtering,d,easy,understanding,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of the maximum number of operations that can be completed in a given time period?,Throughput,Response time,Latency,Utilization,a,medium,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following is a measure of the time it takes to complete a single operation?,Throughput,Response time,Latency,Utilization,c,medium,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by overlapping the execution of multiple tasks or processes?,Multiprogramming,Pipelining,Caching,Virtual memory,a,hard,analyzing,OS
Operating System Performance Evaluation and Optimization,Which of the following is a technique used to improve system performance by reducing the amount of data that must be transferred between the CPU and memory?,Caching,Virtual memory,Swapping,Multiprogramming,b,hard,analyzing,OS
Introduction to Computer Networks,Which of the following is not a benefit of computer networks?,Data sharing,Resource sharing,Cost reduction,Centralized control,d,easy,remembering,CN
Introduction to Computer Networks,Which of the following is not a network topology?,Bus,Star,Ring,Circle,d,easy,remembering,CN
Introduction to Computer Networks,Which of the following device is used to connect two different networks together?,Hub,Switch,Router,Repeater,c,medium,applying,CN
Introduction to Computer Networks,Which protocol is used to transmit email messages?,HTTP,FTP,SMTP,TCP,c,medium,understanding,CN
Introduction to Computer Networks,Which of the following device is used to connect multiple devices in a network and broadcast data packets to all connected devices?,Router,Switch,Hub,Repeater,c,easy,remembering,CN
Introduction to Computer Networks,Which of the following protocol is used to transfer files over the internet?,HTTP,FTP,SMTP,TCP,b,easy,understanding,CN
Introduction to Computer Networks,Which of the following is not a network topological model?,Peer-to-Peer,Client-Server,Bus,Star,c,easy,remembering,CN
Introduction to Computer Networks,Which of the following is used to translate domain names into IP addresses?,DNS,SMTP,POP3,TCP,a,medium,understanding,CN
Introduction to Computer Networks,Which of the following refers to the process of dividing a message into smaller units and adding a header and a trailer to each unit?,Multiplexing,De-multiplexing,Segmentation,Reassembly,c,hard,analyzing,CN
Introduction to Computer Networks,Which of the following protocol is used for secure communication over the internet?,HTTP,FTP,SMTP,HTTPS,d,medium,understanding,CN
Network Topologies and Architectures,Which of the following is not a type of network topology?,Star,Mesh,Bus,Branch,d,easy,remembering,CN
Network Topologies and Architectures,Which of the following topology is used in wireless networks?,Mesh,Star,Ring,Tree,b,medium,understanding,CN
Network Topologies and Architectures,Which of the following topology connects all devices in a circular fashion?,Bus,Star,Ring,Mesh,c,easy,remembering,CN
Network Topologies and Architectures,Which of the following topology uses a central hub to connect devices?,Bus,Mesh,Ring,Star,d,easy,remembering,CN
Network Topologies and Architectures,Which of the following topology provides redundancy and fault tolerance in case of link failure?,Mesh,Star,Ring,Bus,a,medium,applying,CN
Network Topologies and Architectures,Which of the following is not a type of network architecture?,Client-Server,Peer-to-Peer,Hybrid,Tree,d,easy,remembering,CN
Network Topologies and Architectures,Which of the following architecture is commonly used in businesses and organizations?,Client-Server,Peer-to-Peer,Hybrid,Mesh,a,medium,understanding,CN
Network Topologies and Architectures,Which of the following architecture allows all devices to have equal responsibility and functionality?,Client-Server,Peer-to-Peer,Hybrid,Mesh,b,medium,understanding,CN
Network Topologies and Architectures,Which of the following architecture combines the features of both Client-Server and Peer-to-Peer architectures?,Client-Server,Peer-to-Peer,Hybrid,Tree,c,hard,analyzing,CN
Network Topologies and Architectures,Which of the following is not a benefit of network architectures?,Centralized control,Flexibility,Scalability,Security,a,easy,remembering,CN
Network Protocols and Standards,Which protocol is used for transferring web page data from a web server to a client's browser?,HTTP,FTP,SMTP,POP3,a,easy,remembering,CN
Network Protocols and Standards,Which protocol is used for securely transferring files between a client and server?,SFTP,FTP,TFTP,HTTP,a,medium,understanding,CN
Network Protocols and Standards,Which protocol is used for resolving IP addresses to MAC addresses?,ARP,DNS,ICMP,TCP,a,medium,understanding,CN
Network Protocols and Standards,Which protocol is used for establishing a secure connection between a client and a server?,SSL,TLS,HTTPS,SSH,c,hard,applying,CN
Network Protocols and Standards,Which protocol is used for sending email?,SMTP,POP3,IMAP,HTTP,a,medium,understanding,CN
Network Protocols and Standards,Which protocol is used for transferring files over the internet?,FTP,SFTP,TFTP,HTTP,a,easy,remembering,CN
Network Protocols and Standards,Which protocol is used for managing network devices?,SNMP,SMTP,POP3,HTTP,a,hard,applying,CN
Network Protocols and Standards,Which protocol is used for routing packets across multiple networks?,RIP,OSPF,BGP,IS-IS,c,hard,applying,CN
Network Protocols and Standards,Which protocol is used for assigning IP addresses to devices on a network?,DHCP,DNS,RARP,ICMP,a,medium,understanding,CN
Network Protocols and Standards,Which protocol is used for detecting and correcting errors in data transmissions?,TCP,UDP,IP,ICMP,d,hard,analyzing,CN
Physical layer and data transmission,What is the unit of data transmission in the physical layer of the OSI model?,Packet,Bit,Frame,Segment,b,medium,understanding,CN
Physical layer and data transmission,Which of the following is not a characteristic of the physical layer?,Data compression,Data encoding,Data transmission rate,Data synchronization,a,hard,applying,CN
Physical layer and data transmission,Which of the following refers to the physical medium used for data transmission?,Frequency,Amplitude,Phase,Medium,d,easy,remembering,CN
Physical layer and data transmission,Which of the following transmission media has the highest bandwidth?,Twisted-pair cable,Coaxial cable,Fiber-optic cable,Wi-Fi,c,medium,understanding,CN
Physical layer and data transmission,Which of the following transmission media is the most susceptible to interference?,Twisted-pair cable,Coaxial cable,Fiber-optic cable,Wi-Fi,a,medium,understanding,CN
Physical layer and data transmission,Which of the following is not a type of data transmission?,Simplex transmission,Duplex transmission,Half-duplex transmission,Quad-duplex transmission,d,hard,analyzing,CN
Physical layer and data transmission,Which of the following is the term used to describe the conversion of digital data into analog signals for transmission over a communication channel?,Modulation,Amplification,Filtering,Demodulation,a,medium,applying,CN
Physical layer and data transmission,Which of the following is the term used to describe the process of sending data from one device to another device?,Transmission,Reception,Propagation,Decompression,a,easy,remembering,CN
Physical layer and data transmission,Which of the following is not a characteristic of baseband transmission?,Uses a single frequency,Less susceptible to noise,Low transmission distance,Less expensive,c,hard,applying,CN
Physical layer and data transmission,Which of the following is not a modulation technique used in data transmission?,Amplitude modulation (AM),Frequency modulation (FM),Phase modulation (PM),Data modulation (DM),d,hard,analyzing,CN
Transport layer and congestion control,Which of the following is not a function of the transport layer?,Segmentation and reassembly,Error detection and correction,Flow control,Congestion control,b,medium,understanding,CN
Transport layer and congestion control,Which of the following protocol is used for reliable data transmission?,TCP,UDP,IP,SMTP,a,medium,understanding,CN
Transport layer and congestion control,What is the maximum size of data that can be sent in a single TCP segment?,64 KB,128 KB,256 KB,512 KB,a,hard,analyzing,CN
Transport layer and congestion control,Which of the following is not a mechanism used by TCP for congestion control?,Slow start,Congestion avoidance,Fast retransmit,Flow control,d,hard,analyzing,CN
Transport layer and congestion control,What is the purpose of the window size in TCP?,To regulate the flow of data between the sender and receiver,To detect errors in the data being transmitted,To segment and reassemble the data into packets,To encrypt the data being transmitted,a,medium,applying,CN
Transport layer and congestion control,What is the function of the UDP protocol?,To provide reliable data transmission,To provide congestion control,To provide flow control,To provide fast and efficient data transmission,d,medium,understanding,CN
Transport layer and congestion control,What is the purpose of the acknowledgement number in TCP?,To confirm the receipt of data by the receiver,To regulate the flow of data between the sender and receiver,To segment and reassemble the data into packets,To encrypt the data being transmitted,a,hard,applying,CN
Transport layer and congestion control,Which of the following is not a type of TCP header flag?,ACK,SYN,FIN,END,d,medium,understanding,CN
Transport layer and congestion control,Which of the following is not a cause of network congestion?,Too much data being transmitted,Network hardware failure,Slow response times from network devices,Network topology,c,hard,analyzing,CN
Transport layer and congestion control,What is the purpose of the checksum field in the TCP header?,To detect errors in the data being transmitted,To regulate the flow of data between the sender and receiver,To segment and reassemble the data into packets,To encrypt the data being transmitted,a,medium,applying,CN
Network layer and routing,Which layer of the OSI model is responsible for routing and forwarding packets?,Physical layer,Data link layer,Network layer,Transport layer,c,medium,understanding,CN
Network layer and routing,Which routing algorithm is used by the Internet Protocol (IP)?,Dijkstra's algorithm,Link-state routing algorithm,Bellman-Ford algorithm,Flooding algorithm,b,hard,analyzing,CN
Network layer and routing,What is the purpose of a routing table in a router?,To store the MAC addresses of devices in the network,To store the IP addresses of devices in the network,To store the location of devices in the network,To store the routes to destination networks,d,medium,applying,CN
Network layer and routing,Which type of routing protocol uses the hop count as the metric for selecting the best path to a destination network?,Link-state routing protocol,Distance-vector routing protocol,Path-vector routing protocol,Hybrid routing protocol,b,hard,understanding,CN
Network layer and routing,Which protocol is used by routers to exchange routing information?,HTTP,FTP,SMTP,OSPF,d,medium,understanding,CN
Network layer and routing,What is the purpose of a default route in a routing table?,To provide a backup route in case of a network failure,To provide a route to all other networks not listed in the routing table,To provide a route to the network's default gateway,To provide a route to the DNS server,b,hard,applying,CN
Network layer and routing,What is the purpose of the routing protocol RIP (Routing Information Protocol)?,To find the best path to a destination network based on hop count,To distribute routing information between routers in the same autonomous system,To provide secure communication between routers,To synchronize the clocks of routers in the network,b,medium,understanding,CN
Network layer and routing,Which type of routing protocol sends updates only when there is a change in the network topology?,Periodic routing protocol,Triggered routing protocol,Static routing protocol,Dynamic routing protocol,b,hard,applying,CN
Network layer and routing,Which type of routing protocol uses complex metrics to select the best path to a destination network?,Link-state routing protocol,Distance-vector routing protocol,Path-vector routing protocol,Hybrid routing protocol,a,medium,analyzing,CN
Network layer and routing,What is the purpose of the Internet Control Message Protocol (ICMP)?,To send error messages and operational information about network conditions,To encapsulate data packets for transmission over the network,To route packets through the network,To establish connections between devices on the network,a,medium,applying,CN
Application layer and network services,Which of the following protocols is used for remote access to a network?,SMTP,RDP,SSH,FTP,b,medium,understanding,CN
Application layer and network services,Which of the following protocols is used to retrieve email messages from a mail server?,SMTP,POP3,IMAP,FTP,b,medium,understanding,CN
Application layer and network services,Which protocol is used to transfer files between systems on the internet?,FTP,SFTP,SCP,TELNET,a,medium,understanding,CN
Application layer and network services,Which of the following is an example of a real-time communication protocol?,HTTP,SSH,VoIP,SMTP,c,hard,applying,CN
Application layer and network services,Which of the following protocols is used to access web pages on the internet?,HTTP,FTP,SMTP,TCP,a,easy,remembering,CN
Application layer and network services,Which of the following is not an email protocol?,SMTP,POP3,IMAP,RDP,d,medium,understanding,CN
Application layer and network services,Which protocol is used to securely transfer data over the internet?,FTP,SFTP,SCP,HTTPS,d,hard,applying,CN
Application layer and network services,Which of the following protocols is used for remote terminal emulation?,SSH,FTP,SMTP,TCP,a,medium,understanding,CN
Application layer and network services,Which of the following protocols is used for directory services?,DNS,LDAP,FTP,TFTP,b,hard,applying,CN
Application layer and network services,Which of the following protocols is used for network printing?,TCP/IP,LPR/LPD,FTP,SNMP,b,hard,applying,CN
Network security and encryption,Which of the following is not a type of network attack?,Phishing attack,Denial-of-service (DoS) attack,Server crash attack,Man-in-the-middle (MITM) attack,c,medium,understanding,CN
Network security and encryption,Which of the following protocol provides secure communication over the internet?,SSL,TCP,IP,FTP,a,hard,applying,CN
Network security and encryption,Which of the following encryption techniques uses a pair of keys (public and private) to encrypt and decrypt data?,Symmetric-key encryption,Hash encryption,Asymmetric-key encryption,Password-based encryption,c,hard,analyzing,CN
Network security and encryption,Which of the following is a type of malware that can replicate itself and spread to other computers without user's knowledge or permission?,Trojan horse,Worm,Virus,Rootkit,b,medium,applying,CN
Network security and encryption,Which of the following is not a type of authentication?,Password authentication,Biometric authentication,Certificate-based authentication,Encryption authentication,d,hard,applying,CN
Network security and encryption,Which of the following technique is used to hide the real IP address of a device by redirecting traffic through different servers or networks?,Firewall,VPN,Tunneling,Port scanning,b,medium,understanding,CN
Network security and encryption,Which of the following is a standard for secure communication over the internet?,AES,SHA-256,SSL/TLS,SSH,c,hard,analyzing,CN
Network security and encryption,Which of the following is not a type of network security threat?,Phishing,DoS attack,Adware,Spamming,c,easy,understanding,CN
